ST_CASE,STATE,PEDS,VE_TOTAL,PERSONS,COUNTY,DAY_WEEK,HOUR,ROUTE,FUNC_SYS,LATITUDE,LONGITUD,TYP_INT,REL_ROAD,LGT_COND,WEATHER,FATALS,NUM_INJURED
50078,5,0,2,3,17,2,2,2,3,33.27381389,-91.18227778,1,1,2,10,1,3
50079,5,0,2,4,85,5,19,2,3,34.69666111,-92.09646944,2,1,2,2,1,4
50080,5,0,1,1,137,6,10,3,4,35.76502222,-91.93123333,1,4,1,10,1,1
50081,5,0,1,1,133,2,13,4,7,33.86623333,-94.17649167,1,4,1,1,1,1
50082,5,0,2,4,125,4,19,6,7,34.61486944,-92.507075,3,1,2,1,1,3
50083,5,1,1,1,73,5,5,2,3,33.36750556,-93.51618889,1,1,2,1,1,1
50084,5,0,2,2,143,7,17,6,7,36.05639167,-94.16205833,1,1,1,1,1,1
50085,5,0,2,5,51,3,21,3,3,34.45247222,-93.07061944,1,1,3,1,1,2
50086,5,0,2,3,117,6,18,1,1,34.83565833,-91.47237778,1,4,3,1,1,1
50087,5,0,2,2,119,6,23,2,2,34.84869444,-92.146275,1,1,2,1,1,2
50088,5,0,1,1,117,6,15,1,1,34.81799167,-91.61930556,1,4,1,1,1,1
50089,5,0,2,2,143,7,19,6,7,36.15343056,-94.17260556,1,1,2,2,1,2
50090,5,0,1,1,53,4,12,2,3,34.19265556,-92.40319444,1,4,1,1,1,1
50091,5,0,3,7,119,7,21,1,1,34.67602222,-92.36533333,1,1,2,1,1,5
50092,5,0,1,3,119,7,1,1,1,34.83666111,-92.34784167,1,4,2,10,1,3
50093,5,0,1,1,67,3,17,3,5,35.64926667,-91.05156944,1,4,1,1,1,1
50094,5,0,1,2,59,3,8,4,6,34.32928333,-92.92395,1,4,1,2,1,2
50095,5,0,2,4,83,6,11,3,4,35.36779722,-93.53074722,1,1,1,1,1,4
50096,5,0,2,2,121,2,10,4,7,36.45136667,-90.85651667,1,1,1,1,1,1
50097,5,0,1,1,45,6,10,1,1,34.99401389,-92.41487778,1,3,1,2,1,1
50098,5,0,1,1,57,3,16,1,1,33.74426944,-93.51428333,1,3,1,10,1,1
50099,5,0,2,4,51,7,11,4,5,34.40423611,-93.16914722,2,1,1,1,1,4
50100,5,1,1,1,119,1,1,2,3,34.72213056,-92.32763611,1,1,2,1,1,1
50101,5,1,1,1,119,7,6,4,5,34.74519167,-92.54986944,1,1,2,1,1,1
50102,5,1,1,1,119,5,16,1,1,34.66846389,-92.26436111,1,1,1,2,1,1
50103,5,0,1,1,119,3,17,3,4,34.97731111,-92.12875278,1,4,1,1,1,1
50104,5,0,2,3,9,6,12,3,5,36.45561944,-93.16467222,1,1,1,1,1,3
50105,5,2,3,2,89,1,18,3,5,36.24934722,-92.68852778,1,1,5,1,1,2
50106,5,0,2,6,91,3,18,1,1,33.47534167,-94.01043333,1,1,1,1,3,6
50108,5,0,2,3,19,2,15,3,4,34.21461111,-93.08373611,3,1,1,1,1,3
50109,5,0,1,2,59,4,14,2,5,34.385125,-92.75004167,1,4,1,10,1,2
50110,5,0,1,2,51,6,23,2,3,34.48774167,-93.09140278,1,4,3,1,1,2
50111,5,0,2,2,15,5,16,2,4,36.33758056,-93.451425,1,1,1,1,1,1
50112,5,1,1,1,119,4,20,6,4,34.73259167,-92.30611944,1,1,2,2,1,1
50113,5,0,1,2,29,6,18,4,6,35.2134,-92.69416667,1,4,1,1,1,2
50114,5,0,2,4,115,3,8,3,4,35.41744444,-93.13493056,1,1,1,1,2,4
50115,5,0,1,2,49,4,23,4,7,36.38105278,-92.02985278,1,4,6,10,1,2
50116,5,0,2,4,119,7,13,1,1,34.71917222,-92.40121111,1,1,1,1,1,4
50117,5,0,2,2,111,6,9,3,5,35.68933333,-90.53143056,2,1,1,1,1,2
50118,5,1,1,1,119,2,23,6,4,34.74815833,-92.28588611,1,1,2,1,1,1
50119,5,0,2,3,45,2,12,3,3,35.06608611,-92.43418333,1,1,1,1,1,3
50120,5,0,2,2,103,3,17,2,4,33.61328889,-92.77738889,3,1,1,1,1,1
50121,5,0,1,1,119,6,23,1,1,34.81980278,-92.34069167,1,4,2,1,1,1
50122,5,0,1,1,97,6,8,3,4,34.56554444,-93.61988056,1,4,1,1,1,1
50123,5,0,1,3,85,7,21,4,7,34.91906389,-91.80375278,1,4,2,1,1,3
50124,5,0,1,1,85,7,16,4,7,34.89563611,-92.02756944,1,4,1,1,1,1
50125,5,0,3,5,119,1,13,6,4,34.67999722,-92.34377222,2,1,1,1,1,5
50126,5,0,1,1,145,3,17,3,5,35.031075,-91.80275833,1,4,1,1,1,1
50127,5,0,1,1,125,7,14,3,4,34.59696667,-92.60264444,1,4,1,1,1,1
50128,5,0,1,1,51,4,18,3,4,34.61563056,-92.91898889,1,4,5,10,1,1
50129,5,0,2,2,31,4,11,2,3,35.91051111,-90.58800833,1,1,1,1,1,1
50130,5,0,2,2,119,6,2,1,1,34.74364167,-92.288525,1,1,2,2,1,1
50131,5,0,2,2,145,6,20,3,5,35.24903889,-91.68088333,2,1,2,1,1,2
50133,5,0,3,3,51,4,20,3,3,34.48076944,-93.05982222,3,1,3,1,1,1
50134,5,0,2,1,7,6,17,6,4,36.22511389,-94.14440278,1,1,1,1,1,1
50135,5,0,1,2,51,2,20,4,5,34.40058611,-93.23795,1,4,2,1,2,2
50136,5,0,1,1,53,4,12,3,4,34.37561667,-92.47751389,1,4,1,1,1,1
50137,5,0,1,1,133,7,6,3,4,33.98191389,-94.33094444,1,4,1,1,1,1
50138,5,0,2,2,131,1,14,6,3,35.37490833,-94.38582222,1,1,1,1,1,1
50139,5,0,2,3,47,4,15,2,5,35.4459,-93.74837222,1,1,1,1,1,3
50140,5,1,1,2,115,4,21,3,5,35.31903056,-92.94339722,1,1,2,1,1,1
50141,5,1,1,1,119,4,2,2,2,34.85240278,-92.141,1,1,2,10,1,1
50142,5,0,1,1,145,6,6,2,2,35.23593056,-91.70151111,1,3,4,1,1,1
50143,5,1,1,1,119,1,1,1,1,34.77431111,-92.38983889,1,1,2,2,1,1
50144,5,0,1,1,95,6,6,2,3,34.60893611,-91.41621389,1,5,4,2,1,1
50145,5,0,1,1,69,4,19,6,4,34.18278056,-92.02440278,1,4,2,10,1,1
50146,5,0,1,2,119,7,18,1,1,34.70019444,-92.27037778,1,3,1,1,1,2
50147,5,0,2,3,7,3,12,3,5,36.43043333,-94.37491111,1,1,1,1,2,3
50148,5,0,1,1,39,5,7,3,5,34.080575,-92.54806389,1,5,1,10,1,1
50150,5,0,1,1,119,5,3,1,1,34.49425278,-92.20901944,1,4,2,1,1,1
50151,5,0,1,1,119,5,16,3,4,34.54488333,-92.19963333,1,4,1,1,1,1
50152,5,0,1,3,25,7,18,3,5,33.90595833,-92.14504167,1,4,1,10,2,3
50153,5,1,1,1,69,1,0,3,3,34.21313056,-91.98045833,1,1,3,1,1,1
50154,5,0,2,2,127,2,5,2,3,34.70672222,-94.17928333,1,1,2,1,1,2
50155,5,0,3,6,87,7,19,3,5,36.26225556,-93.77679722,1,1,1,1,1,4
50156,5,0,2,2,149,2,16,3,3,35.14815,-93.16279722,1,1,1,1,2,2
50157,5,0,2,2,119,6,21,3,3,34.79829722,-92.41568333,1,1,3,1,1,2
50158,5,0,1,1,87,6,20,4,7,35.90394722,-93.932875,1,4,2,1,1,1
50159,5,0,1,3,119,3,17,6,7,34.71371667,-92.28584722,1,4,1,1,1,3
50161,5,1,1,1,69,4,21,2,5,34.20557222,-92.00698333,1,1,3,1,1,1
50162,5,0,4,6,45,2,18,2,4,35.08225556,-92.22524722,2,1,1,1,1,1
50163,5,0,1,2,87,7,14,3,4,36.19911389,-93.71871944,1,4,1,1,1,2
50164,5,0,2,3,127,5,8,2,5,34.85698056,-94.06693056,1,1,1,10,1,3
50165,5,0,2,2,131,5,17,6,4,35.29436667,-94.39903889,1,1,1,10,1,2
50166,5,0,1,1,75,2,15,2,2,35.97540556,-90.97881111,1,3,1,6,1,1
50167,5,0,2,2,29,3,4,3,5,35.24624167,-92.73323611,1,1,2,1,1,1
50168,5,0,1,1,29,7,13,3,4,35.11283333,-92.95415,1,1,1,1,1,1
50169,5,0,2,3,131,5,22,6,5,35.36291944,-94.39065,3,1,2,1,1,3
50170,5,0,1,1,35,6,20,6,5,35.10424722,-90.22945278,1,4,6,2,1,1
50171,5,0,1,2,117,1,2,3,4,34.97746944,-91.56320833,3,4,2,1,1,1
50172,5,0,1,1,137,7,21,4,7,35.714475,-92.33513333,1,4,2,1,1,1
50173,5,0,2,4,145,2,9,2,2,35.22385833,-91.71503889,1,2,1,1,1,4
50174,5,0,3,5,49,5,16,2,3,36.38448611,-91.86147222,1,1,1,1,1,3
50175,5,0,2,2,109,4,7,2,4,34.29659167,-93.63140833,1,1,1,10,1,2
50176,5,0,2,3,55,7,18,2,3,36.055925,-90.57135556,2,1,1,1,1,3
50177,5,0,2,2,15,5,15,3,4,36.37082778,-93.75308056,3,1,1,1,1,1
50178,5,0,3,4,145,7,18,3,5,35.270675,-91.90578056,3,1,1,1,1,1
50179,5,1,1,1,35,4,20,2,3,35.14651667,-90.17243889,1,1,3,2,1,1
50180,5,0,2,2,119,5,14,6,4,34.86696111,-92.09781389,3,1,1,1,1,1
50181,5,0,1,1,37,3,11,3,5,35.17364167,-90.89220833,1,4,1,10,1,1
